# time_ps largest_cluster_rg_nm
3237000.000000 7.1687988303
3238000.000000 12.3437102929
3239000.000000 5.0303984719
3240000.000000 6.0331987501
3241000.000000 2.8800565263
3242000.000000 7.3539535083
3243000.000000 8.3735650180
3244000.000000 9.5190881746
3245000.000000 7.0639770162
3246000.000000 5.3435966720
3247000.000000 14.0954086777
3248000.000000 8.8485844657
3249000.000000 8.8926155884
3250000.000000 6.0630226760
3251000.000000 8.8594322323
3252000.000000 8.4391299301
3253000.000000 6.1981797818
3254000.000000 8.0806709983
3255000.000000 10.5069357930
3256000.000000 6.7278947758
3257000.000000 6.2786989258
3258000.000000 6.3074763094
3259000.000000 9.4937746222
3260000.000000 5.5839114811
3261000.000000 5.7972015673
3262000.000000 4.4134364212
3263000.000000 9.9698866810
3264000.000000 9.4607076041
3265000.000000 10.4216481498
3266000.000000 6.2987629886
3267000.000000 9.2105835190
3268000.000000 7.0720771558
3269000.000000 7.7242317878
3270000.000000 8.0812650918
3271000.000000 11.1896945657
3272000.000000 9.9063738549
3273000.000000 9.4649571119
3274000.000000 7.8955299583
3275000.000000 8.7902592207
3276000.000000 8.8817116281
3277000.000000 8.3879385105
3278000.000000 9.6124461227
3279000.000000 10.1774916956
3280000.000000 4.3694731579
3281000.000000 10.7008241463
3282000.000000 5.9521102907
3283000.000000 7.9868274903
3284000.000000 7.9292697741
3285000.000000 9.6686810677
3286000.000000 7.5434140396
3287000.000000 18.5195828547
3288000.000000 8.5673576138
3289000.000000 8.2527702489
3290000.000000 9.4385963557
3291000.000000 8.6197183845
3292000.000000 5.7439728259
3293000.000000 7.6731404069
3294000.000000 6.7938418620
3295000.000000 7.4834763871
3296000.000000 7.4683854386
3297000.000000 8.0939345914
3298000.000000 8.7038929890
3299000.000000 13.8074001412
3300000.000000 8.1904410188
3301000.000000 6.8054547130
3302000.000000 6.9758994105
3303000.000000 7.5551786624
3304000.000000 9.6492261161
3305000.000000 6.2134511112
3306000.000000 6.4933655406
3307000.000000 13.1576321244
3308000.000000 6.7644474681
3309000.000000 8.8226907773
3310000.000000 7.4718889534
3311000.000000 7.3127737567
3312000.000000 7.2216422161
3313000.000000 7.9758192644
3314000.000000 10.9256279420
3315000.000000 6.6919395142
3316000.000000 8.3420742835
3317000.000000 8.4114160620
3318000.000000 7.2978673878
3319000.000000 7.3303124097
3320000.000000 8.4260523906
3321000.000000 12.7330932539
